27/04/19 10:16:09 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 10:25:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 10:25:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 10:25:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:25:16 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 10:25:16 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:25:16 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 10:25:16 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture
27/04/19 10:29:19 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 10:29:19 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 10:29:19 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:29:19 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 10:29:19 DEBUG 	 com.evilcorp.imagerecognition.Constants: 29 - OS TYPE: windows 7
27/04/19 10:29:19 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 10:29:19 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture...
27/04/19 10:44:17 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 10:44:17 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 10:44:17 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 10:44:17 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 10:44:17 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 10:44:17 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 10:44:17 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture...
27/04/19 10:44:34 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 27 - Trying to load library...
27/04/19 10:44:34 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 10:44:34 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 10:44:34 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 10:44:34 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 10:44:34 ERROR 	 com.evilcorp.imagerecognition.api.ImageAPITest: 32 - 
27/04/19 10:44:34 INFO  	 com.evilcorp.imagerecognition.api.ImageAPITest: 34 - Trying to load picture...
27/04/19 11:00:26 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:00:26 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:00:26 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:00:26 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:03:24 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:03:24 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:03:24 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:03:24 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:05:46 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:05:46 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:05:46 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:05:46 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:10:44 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:10:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:10:44 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:10:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:18:43 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:18:43 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:18:43 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:18:43 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:21:35 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:21:35 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
